Threshold,Lambda,Iter,Time,SumPR
1e-06,0.8,25,0.399,0.9972
1e-06,0.81,27,0.476,0.997
1e-06,0.82,28,0.532,0.9968
1e-06,0.83,30,0.5,0.9967
1e-06,0.84,32,0.513,0.9965
1e-06,0.85,34,0.615,0.9962
1e-06,0.86,37,0.814,0.996
1e-06,0.87,40,0.725,0.9957
1e-06,0.88,44,0.833,0.9954
1e-06,0.89,48,0.793,0.995
1e-06,0.9,53,0.863,0.9946
1e-07,0.8,35,0.635,0.9972
1e-07,0.81,38,0.724,0.997
1e-07,0.82,40,0.74,0.9968
1e-07,0.83,42,0.76,0.9967
1e-07,0.84,45,0.921,0.9964
1e-07,0.85,48,1.031,0.9962
1e-07,0.86,52,0.889,0.996
1e-07,0.87,57,1.095,0.9957
1e-07,0.88,62,1.112,0.9954
1e-07,0.89,67,1.375,0.995
1e-07,0.9,75,1.348,0.9946
1e-08,0.8,46,0.758,0.9972
1e-08,0.81,48,0.794,0.997
1e-08,0.82,51,0.847,0.9968
1e-08,0.83,55,0.907,0.9967
1e-08,0.84,58,1.052,0.9964
1e-08,0.85,63,1.153,0.9962
1e-08,0.86,67,1.291,0.996
1e-08,0.87,73,1.337,0.9957
1e-08,0.88,80,1.342,0.9954
1e-08,0.89,87,1.434,0.995
1e-08,0.9,96,1.622,0.9946
1e-09,0.8,56,0.977,0.9972
1e-09,0.81,59,1.12,0.997
1e-09,0.82,63,1.282,0.9968
1e-09,0.83,67,1.203,0.9967
1e-09,0.84,72,1.319,0.9964
1e-09,0.85,77,1.508,0.9962
1e-09,0.86,83,1.844,0.996
1e-09,0.87,90,1.834,0.9957
1e-09,0.88,98,1.723,0.9954
1e-09,0.89,107,1.799,0.995
1e-09,0.9,118,1.974,0.9946
1e-10,0.8,66,1.088,0.9972
1e-10,0.81,70,1.161,0.997
1e-10,0.82,75,1.239,0.9968
1e-10,0.83,79,1.321,0.9967
1e-10,0.84,85,1.404,0.9964
1e-10,0.85,91,1.517,0.9962
1e-10,0.86,98,1.625,0.996
1e-10,0.87,106,1.784,0.9957
1e-10,0.88,116,1.924,0.9954
1e-10,0.89,127,2.083,0.995
1e-10,0.9,140,2.319,0.9946
